epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,0.5388073921203613,,
0,99,,,0.3401827812194824,,
0,149,,,0.30568239092826843,,
0,199,,,0.4593832790851593,,
0,249,,,0.23727388679981232,,
0,299,,,0.24248106777668,,
0,349,,,0.20309901237487793,,
0,399,,,0.17052334547042847,,
0,449,,,0.2933890223503113,,
0,499,,,0.2342502623796463,,
0,549,,,0.26113417744636536,,
0,599,,,0.18132613599300385,,
0,649,,,0.13058137893676758,,
0,699,,,0.2051706612110138,,
0,749,,,0.2838577628135681,,
0,749,,,,0.95291668176651,0.1561111956834793
0,749,0.8931249976158142,0.34597378969192505,,,
1,799,,,0.13746069371700287,,
1,849,,,0.10980108380317688,,
1,899,,,0.11959518492221832,,
1,949,,,0.130996972322464,,
1,999,,,0.17290520668029785,,
1,1049,,,0.6381282806396484,,
1,1099,,,0.10244647413492203,,
1,1149,,,0.27049386501312256,,
1,1199,,,0.08036952465772629,,
1,1249,,,0.25056880712509155,,
1,1299,,,0.14156046509742737,,
1,1349,,,0.13617953658103943,,
1,1399,,,0.24088405072689056,,
1,1449,,,0.1762569546699524,,
1,1499,,,0.07921475917100906,,
1,1499,,,,0.9681666493415833,0.11427081376314163
1,1499,0.9492499828338623,0.16723784804344177,,,
2,1549,,,0.19334357976913452,,
2,1599,,,0.13704976439476013,,
2,1649,,,0.045902837067842484,,
2,1699,,,0.06973031908273697,,
2,1749,,,0.08010810613632202,,
2,1799,,,0.19737529754638672,,
2,1849,,,0.12409024685621262,,
2,1899,,,0.12392094731330872,,
2,1949,,,0.16456323862075806,,
2,1999,,,0.13788673281669617,,
2,2049,,,0.262073278427124,,
2,2099,,,0.12989550828933716,,
2,2149,,,0.13820843398571014,,
2,2199,,,0.11935917288064957,,
2,2249,,,0.09221965819597244,,
2,2249,,,,0.9714999794960022,0.10024130344390869
2,2249,0.9608333110809326,0.13073965907096863,,,
3,2299,,,0.18486349284648895,,
3,2349,,,0.11393968760967255,,
3,2399,,,0.030382538214325905,,
3,2449,,,0.16981783509254456,,
3,2499,,,0.05888601765036583,,
3,2549,,,0.10113785415887833,,
3,2599,,,0.035389985889196396,,
3,2649,,,0.1121920794248581,,
3,2699,,,0.13835901021957397,,
3,2749,,,0.17815148830413818,,
3,2799,,,0.16571229696273804,,
3,2849,,,0.026825174689292908,,
3,2899,,,0.09999944269657135,,
3,2949,,,0.2687527537345886,,
3,2999,,,0.17673815786838531,,
3,2999,,,,0.968583345413208,0.11244315654039383
3,2999,0.9668958187103271,0.1059470847249031,,,
4,3049,,,0.05451345816254616,,
4,3099,,,0.10138746351003647,,
4,3149,,,0.012527896091341972,,
4,3199,,,0.04930208623409271,,
