epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,,2.2344260215759277,,
0,99,,1.900715708732605,,
0,149,,1.4925577640533447,,
0,199,,0.851648211479187,,
0,249,,0.586635410785675,,
0,299,,0.5820930004119873,,
0,349,,0.4698401987552643,,
0,399,,0.5070597529411316,,
0,449,,0.4520319700241089,,
0,499,,0.5725223422050476,,
0,549,,0.21153663098812103,,
0,599,,0.3446377217769623,,
0,649,,0.7274292707443237,,
0,699,,0.36752116680145264,,
0,749,,0.3296549916267395,,
0,799,,0.2551800608634949,,
0,849,,0.5068390965461731,,
0,858,,,0.8966000080108643,0.35509952902793884
0,858,0.7733738422393799,,,
1,899,,0.2961883842945099,,
1,949,,0.26119616627693176,,
1,999,,0.26647064089775085,,
1,1049,,0.14047197997570038,,
1,1099,,0.34227970242500305,,
1,1149,,0.2350378930568695,,
1,1199,,0.4471890926361084,,
1,1249,,0.1939167082309723,,
1,1299,,0.21883472800254822,,
1,1349,,0.43775269389152527,,
1,1399,,0.7404626607894897,,
1,1449,,0.22745223343372345,,
1,1499,,0.47822630405426025,,
1,1549,,0.39443305134773254,,
1,1599,,0.22999784350395203,,
1,1649,,0.1905151605606079,,
1,1699,,0.2654016315937042,,
1,1717,,,0.9186000227928162,0.27914583683013916
1,1717,0.9131439328193665,,,
2,1749,,0.2626720368862152,,
2,1799,,0.1949649155139923,,
2,1849,,0.32213714718818665,,
2,1899,,0.36211004853248596,,
2,1949,,0.14320304989814758,,
2,1999,,0.11745771020650864,,
2,2049,,0.20396941900253296,,
2,2099,,0.3673069477081299,,
2,2149,,0.31118032336235046,,
2,2199,,0.11381644755601883,,
2,2249,,0.31026124954223633,,
2,2299,,0.2112596482038498,,
2,2349,,0.3894965946674347,,
2,2399,,0.19084081053733826,,
2,2449,,0.057317689061164856,,
2,2499,,0.11484461277723312,,
2,2549,,0.1858375072479248,,
2,2576,,,0.9319999814033508,0.23114174604415894
2,2576,0.9318975806236267,,,
3,2599,,0.27152231335639954,,
3,2649,,0.15949077904224396,,
3,2699,,0.2791632115840912,,
3,2749,,0.23645763099193573,,
3,2799,,0.035779230296611786,,
3,2849,,0.11464263498783112,,
3,2899,,0.3530169427394867,,
3,2949,,0.43199238181114197,,
3,2999,,0.1985839605331421,,
3,3049,,0.2542191743850708,,
3,3099,,0.08614841103553772,,
3,3149,,0.31894272565841675,,
3,3199,,0.10497436672449112,,
3,3249,,0.11915505677461624,,
3,3299,,0.36234888434410095,,
3,3349,,0.18751227855682373,,
3,3399,,0.17927874624729156,,
3,3435,,,0.9426000118255615,0.1922140270471573
3,3435,0.9453397989273071,,,
4,3449,,0.3100860118865967,,
4,3499,,0.18241150677204132,,
4,3549,,0.057888422161340714,,
4,3599,,0.13829068839550018,,
4,3649,,0.22359225153923035,,
4,3699,,0.0981706976890564,,
4,3749,,0.2778784930706024,,
4,3799,,0.3621182441711426,,
4,3849,,0.12291188538074493,,
4,3899,,0.08242743462324142,,
4,3949,,0.4167923629283905,,
4,3999,,0.27604803442955017,,
4,4049,,0.10047148913145065,,
4,4099,,0.06923776119947433,,
4,4149,,0.15508897602558136,,
4,4199,,0.2236105501651764,,
4,4249,,0.25038254261016846,,
4,4294,,,0.9491999745368958,0.16876530647277832
4,4294,0.9535797238349915,,,
5,4299,,0.12047072499990463,,
5,4349,,0.15092100203037262,,
5,4399,,0.21979819238185883,,
5,4449,,0.10204248875379562,,
5,4499,,0.11609908938407898,,
5,4549,,0.051708679646253586,,
5,4599,,0.08583465218544006,,
5,4649,,0.28817179799079895,,
5,4699,,0.10192139446735382,,
5,4749,,0.10993596911430359,,
5,4799,,0.2243095189332962,,
5,4849,,0.08510728925466537,,
5,4899,,0.11521396040916443,,
5,4949,,0.10839372128248215,,
5,4999,,0.04689779505133629,,
5,5049,,0.17938722670078278,,
5,5099,,0.12777192890644073,,
5,5149,,0.11797068268060684,,
5,5153,,,0.9516000151634216,0.15635830163955688
5,5153,0.9597460627555847,,,
6,5199,,0.20886056125164032,,
6,5249,,0.11607557535171509,,
6,5299,,0.1118832528591156,,
6,5349,,0.15450149774551392,,
6,5399,,0.07828215509653091,,
6,5449,,0.04670502245426178,,
6,5499,,0.23785917460918427,,
6,5549,,0.07795663177967072,,
6,5599,,0.06270184367895126,,
6,5649,,0.20820870995521545,,
6,5699,,0.11669527739286423,,
6,5749,,0.1524704396724701,,
6,5799,,0.0894136056303978,,
6,5849,,0.07854654639959335,,
6,5899,,0.29048624634742737,,
6,5949,,0.21290551126003265,,
6,5999,,0.11449608206748962,,
6,6012,,,0.9577999711036682,0.1448679268360138
6,6012,0.9640752077102661,,,
7,6049,,0.09115239232778549,,
7,6099,,0.056515973061323166,,
7,6149,,0.11734091490507126,,
7,6199,,0.12909698486328125,,
